model_id,fom,variables,aic,null_aic,delta_aic,null_deviance,residual_dev,dev_explained,MCFaddenPseudoR2,spatial_auc,training_auc,test_auc,toc_auc
661,0.469578976,"cul_prad_lingue_87,dis_urbano_lingue,dis_hid_lingue,dis_plant87_lingue",1057.386146,1135.988787,-78.60264108,1133.988787,1047.386146,86.60264108,0.076369927,0.669404381,0.679808227,0.67825,0.85358354
662,0.482785071,"bn_lingue_87,dis_comunidades_lingue,dis_hid_lingue",1057.533717,1135.988787,-78.45507087,1133.988787,1049.533717,84.45507087,0.074476108,0.67488435,0.694633581,0.718275,0.929513845
663,0.481030241,"dis_comunidades_lingue,pen_lingue15,dis_plant87_lingue,predios_lingue1",1057.600816,1135.988787,-78.38797179,1122.878679,1047.600816,75.27786373,0.067040069,0.67288449,0.67892526,0.712860933,0.885545888
664,0.495595399,"dis_comunidades_lingue,dis_urbano_lingue,dis_hid_lingue,dis_plant87_lingue",1057.626143,1135.988787,-78.36264477,1133.988787,1047.626143,86.36264477,0.076158288,0.679928562,0.691208207,0.685575,0.864343827
665,0.475236621,"bn_lingue_87,mat_lingue_87,cul_prad_lingue_87,dis_comunidades_lingue,dis_caminos_lingue,dis_hid_lingue,dis_plant87_lingue",1057.707454,1135.988787,-78.28133384,1133.988787,1041.707454,92.28133384,0.081377642,0.66448027,0.69957138,0.7027,0.786735784
666,0.47930717,"dis_comunidades_lingue,dis_caminos_lingue,pen_lingue15,predios_lingue1",1057.755845,1135.988787,-78.23294234,1122.878679,1047.755845,75.12283428,0.066902004,0.673953142,0.678016839,0.712758902,0.874673477
667,0.49235689,dis_urbano_lingue,1057.871285,1135.988787,-78.11750288,1133.988787,1053.871285,80.11750288,0.070651054,0.669440346,0.676771421,0.6672,0.862379467
668,0.481007179,"dis_comunidades_lingue,dis_caminos_lingue,dis_hid_lingue,pen_lingue15,dis_plant87_lingue,predios_lingue1",1057.888591,1135.988787,-78.10019658,1122.878679,1043.888591,78.99008852,0.070346058,0.674651598,0.683924619,0.716763596,0.883131445
669,0.478911522,"mat_lingue_87,cul_prad_lingue_87,dis_comunidades_lingue,dis_caminos_lingue",1057.898793,1135.988787,-78.08999428,1133.988787,1047.898793,86.08999428,0.075917853,0.6676883,0.689749583,0.69595,0.778454008
670,0.481648575,"bn_lingue_87,dis_comunidades_lingue,dis_hid_lingue,dis_plant87_lingue",1057.968195,1135.988787,-78.02059198,1133.988787,1047.968195,86.02059198,0.075856651,0.670899344,0.695823196,0.717675,0.95658395
671,0.484099293,"dis_urbano_lingue,dis_caminos_lingue,dis_hid_lingue",1058.097275,1135.988787,-77.89151215,1133.988787,1050.097275,83.89151215,0.073979137,0.671609254,0.680513627,0.666725,0.870944434
672,0.493950923,"dis_comunidades_lingue,dis_urbano_lingue,dis_caminos_lingue,dis_hid_lingue,dis_plant87_lingue",1058.13523,1135.988787,-77.85355762,1133.988787,1046.13523,87.85355762,0.077473039,0.681077764,0.693569503,0.683625,0.868160686
673,0.480135954,"bn_lingue_87,mat_lingue_87,cul_prad_lingue_87,dis_comunidades_lingue",1058.331898,1135.988787,-77.65688935,1133.988787,1048.331898,85.65688935,0.075535923,0.667538488,0.689585189,0.6985125,0.776205584
674,0.484168771,"dis_urbano_lingue,dis_caminos_lingue,dis_plant87_lingue",1058.351769,1135.988787,-77.63701798,1133.988787,1050.351769,83.63701798,0.073754713,0.672331016,0.681846713,0.6676,0.870080086
675,0.466985847,"mat_lingue_87,dis_comunidades_lingue,dis_hid_lingue,pen_lingue15,dis_plant87_lingue",1058.37339,1135.988787,-77.61539713,1133.988787,1046.37339,87.61539713,0.077263019,0.670431727,0.689827297,0.7108,0.865555797
676,0.481357801,"bn_lingue_87,mat_lingue_87,dis_comunidades_lingue,dis_hid_lingue",1058.411716,1135.988787,-77.57707149,1133.988787,1048.411716,85.57707149,0.075465536,0.671386435,0.69440044,0.7138,0.911757293
677,0.474971232,"mat_lingue_87,cul_prad_lingue_87,dis_comunidades_lingue,dis_caminos_lingue,dis_plant87_lingue",1058.455447,1135.988787,-77.53334081,1133.988787,1046.455447,87.53334081,0.077190658,0.663389712,0.691297876,0.6955,0.800789387
678,0.475254927,"bn_lingue_87,mat_lingue_87,cul_prad_lingue_87,dis_comunidades_lingue,dis_plant87_lingue",1058.733997,1135.988787,-77.25479001,1133.988787,1046.733997,87.25479001,0.07694502,0.66323272,0.690729969,0.697,0.804284504
679,0.472409202,"mat_lingue_87,dis_comunidades_lingue,dis_caminos_lingue,dis_hid_lingue,pen_lingue15",1058.789077,1135.988787,-77.19971083,1133.988787,1046.789077,87.19971083,0.076896449,0.672354641,0.690771815,0.712725,0.852310679
680,0.474518462,"bn_lingue_87,mat_lingue_87,dis_comunidades_lingue,dis_hid_lingue,dis_plant87_lingue",1058.857098,1135.988787,-77.13168915,1133.988787,1046.857098,87.13168915,0.076836464,0.667946841,0.69610416,0.712325,0.94032164
681,0.489314259,"dis_urbano_lingue,dis_hid_lingue",1059.102884,1135.988787,-76.8859035,1133.988787,1053.102884,80.8859035,0.071328663,0.669854611,0.676071999,0.66675,0.863735113
682,0.475937157,"mat_lingue_87,dis_comunidades_lingue,pen_lingue15",1059.147962,1135.988787,-76.84082513,1133.988787,1051.147962,82.84082513,0.073052596,0.671690641,0.684393326,0.7084875,0.854306714
683,0.48459041,"bn_lingue_87,dis_comunidades_lingue",1059.272902,1135.988787,-76.71588568,1133.988787,1053.272902,80.71588568,0.071178733,0.6729293,0.686198672,0.71125,0.929408507
684,0.484469917,"bn_lingue_87,cul_prad_lingue_87,dis_comunidades_lingue,dis_hid_lingue",1059.302786,1135.988787,-76.68600132,1133.988787,1049.302786,84.68600132,0.074679752,0.675860734,0.695279201,0.719425,0.916327561
685,0.483937203,"bn_lingue_87,dis_comunidades_lingue,dis_caminos_lingue,dis_hid_lingue",1059.388465,1135.988787,-76.60032248,1133.988787,1049.388465,84.60032248,0.074604197,0.675127018,0.695602011,0.716425,0.932912176
686,0.480481556,"dis_comunidades_lingue,dis_caminos_lingue,pen_lingue15,dis_plant87_lingue,predios_lingue1",1059.511655,1135.988787,-76.47713241,1122.878679,1047.511655,75.36702436,0.067119472,0.672423378,0.677980259,0.712631364,0.88612507
687,0.476830961,"bn_lingue_87,dis_comunidades_lingue,dis_plant87_lingue",1059.643768,1135.988787,-76.3450189,1133.988787,1051.643768,82.3450189,0.072615373,0.668357245,0.688225202,0.7108,0.959167253
688,0.481431638,"bn_lingue_87,cul_prad_lingue_87,dis_comunidades_lingue,dis_hid_lingue,dis_plant87_lingue",1059.743025,1135.988787,-76.24576213,1133.988787,1047.743025,86.24576213,0.076055216,0.671714377,0.696618265,0.718675,0.946434349
689,0.490476564,"dis_urbano_lingue,dis_plant87_lingue",1059.829489,1135.988787,-76.15929795,1133.988787,1053.829489,80.15929795,0.070687911,0.668725465,0.676520346,0.66655,0.865832049
690,0.478911522,"bn_lingue_87,mat_lingue_87,cul_prad_lingue_87,dis_comunidades_lingue,dis_caminos_lingue",1059.898534,1135.988787,-76.09025379,1133.988787,1047.898534,86.09025379,0.075918082,0.66773529,0.689767517,0.696075,0.779525244
691,0.481117884,"bn_lingue_87,dis_comunidades_lingue,dis_caminos_lingue,dis_hid_lingue,dis_plant87_lingue",1059.902382,1135.988787,-76.08640587,1133.988787,1047.902382,86.08640587,0.075914689,0.671025423,0.696032424,0.716225,0.95797324
692,0.484085398,"dis_urbano_lingue,dis_caminos_lingue,dis_hid_lingue,dis_plant87_lingue",1060.097261,1135.988787,-75.89152625,1133.988787,1050.097261,83.89152625,0.07397915,0.671592454,0.680501671,0.66665,0.871014208
693,0.481459328,"bn_lingue_87,mat_lingue_87,dis_comunidades_lingue,dis_caminos_lingue,dis_hid_lingue",1060.325888,1135.988787,-75.66289987,1133.988787,1048.325888,85.66289987,0.075541223,0.671559869,0.694920523,0.712725,0.914995785
694,0.481445483,"bn_lingue_87,mat_lingue_87,dis_comunidades_lingue",1060.332681,1135.988787,-75.65610688,1133.988787,1052.332681,81.65610688,0.072007861,0.668683005,0.685158506,0.7048375,0.911083618
